id,House,Hogsmeade_Visits,House_Allies,Curse_Mark,Owl_Posts,Quidditch_Attendance,Boggart_Fear,Time_in_Chamber,Corruption
0,Gryffindor,6.0,15.0,,5.0,4.0,No,0.0,Safe
1,Slytherin,7.0,10.0,False,8.0,3.0,No,1.0,Safe
2,Gryffindor,1.0,3.0,,0.0,0.0,Yes,6.0,Vulnerable
3,Slytherin,7.0,,,,,No,3.0,Vulnerable
4,Slytherin,,13.0,False,,,No,1.0,Safe
5,Slytherin,8.0,,False,3.0,5.0,No,2.0,Safe
6,Ravenclaw,8.0,,False,4.0,,No,1.0,Safe
7,Slytherin,8.0,4.0,False,5.0,3.0,No,2.0,Safe
8,Hufflepuff,,,,,1.0,Yes,4.0,Vulnerable
9,Slytherin,8.0,14.0,False,9.0,6.0,No,1.0,Safe
10,Slytherin,7.0,5.0,False,10.0,4.0,No,3.0,Safe
11,Slytherin,6.0,4.0,False,8.0,3.0,No,2.0,Safe
12,Hufflepuff,,9.0,False,6.0,,No,3.0,Vulnerable
13,Slytherin,,12.0,False,,5.0,,,Vulnerable
14,Slytherin,6.0,,,,4.0,No,3.0,Vulnerable
15,Ravenclaw,7.0,5.0,,8.0,6.0,No,,Safe
16,Slytherin,6.0,8.0,False,10.0,4.0,No,0.0,Safe
17,Slytherin,0.0,2.0,,0.0,4.0,,5.0,Vulnerable
18,Hufflepuff,4.0,11.0,False,9.0,4.0,No,1.0,Safe
19,Slytherin,,,,3.0,5.0,No,1.0,Safe
20,Ravenclaw,9.0,10.0,False,7.0,3.0,No,1.0,Safe
21,Gryffindor,3.0,1.0,True,3.0,2.0,Yes,6.0,Vulnerable
22,Slytherin,0.0,2.0,True,0.0,1.0,,4.0,Vulnerable
23,Gryffindor,9.0,6.0,False,3.0,7.0,No,3.0,Safe
24,Hufflepuff,5.0,12.0,False,5.0,3.0,No,1.0,Safe
25,Hufflepuff,1.0,7.0,True,5.0,3.0,Yes,9.0,Vulnerable
26,Gryffindor,6.0,10.0,False,9.0,5.0,,3.0,Safe
